year,total_members,new_ever,new_vs_prev,pct_new_ever,pct_new_vs_prev
2007,42,42,42,100.0,100.0
2009,15,10,13,66.7,86.7
2010,35,17,22,48.6,62.9
2011,38,7,8,18.4,21.1
2012,48,15,19,31.2,39.6
2013,60,18,19,30.0,31.7
2014,56,12,14,21.4,25.0
2015,43,9,10,20.9,23.3
2016,38,10,14,26.3,36.8
2017,40,8,14,20.0,35.0
2018,48,11,14,22.9,29.2
2019,49,10,13,20.4,26.5
2020,54,20,27,37.0,50.0
2021,59,13,16,22.0,27.1
2022,57,17,23,29.8,40.4
2023,60,14,20,23.3,33.3
2024,59,11,16,18.6,27.1
2025,62,13,21,21.0,33.9
2026,61,11,15,18.0,24.6
