year,name_canonical,position,sector,role_type,elected_year
2011,Mark Campbell,"NEC Members, London and the East, HE",HE,regional,2010
2011,Steve Sangwine,"NEC Members, London and the East, HE",HE,regional,2010
2011,Dave Gibson,"NEC Members, North East, FE",FE,regional,2010
2011,David O'Toole,"NEC Members, North East, FE",FE,regional,2010
2011,Elizabeth Lawrence,"NEC Members, North East, HE",HE,regional,2010
2011,Gavin Reid,"NEC Members, North East, HE",HE,regional,2010
2011,Joanna de Groot,"NEC Members, North East, HE",HE,regional,2010
2011,Bob Langridge,"NEC Members, South, HE",HE,regional,2011
2011,Lesley Kane,"NEC Members, South, HE",HE,regional,2011
2011,Tom Hickey,"NEC Members, South, HE",HE,regional,2011
2011,Angela Roger,UCU Scotland Honorary Secretary,HE,regional,2011
2011,Gordon Watson,UCU Scotland President,HE,regional,2011
2011,Craig Lewis,"UK NEC Members, FE",FE,uk_nec,2010
2011,Jim Thakoordin,"UK NEC Members, FE",FE,uk_nec,2010
2011,John McCormack,"UK NEC Members, FE",FE,uk_nec,2010
2011,Richard McEwan,"UK NEC Members, FE",FE,uk_nec,2010
2011,Angi Lamb,"UK NEC Members, HE",HE,uk_nec,2010
2011,Christine Viè,"UK NEC Members, HE",HE,uk_nec,2010
2011,Dominique Lauterburg,"UK NEC Members, HE",HE,uk_nec,2010
2011,Gargi Bhattacharyya,"UK NEC Members, HE",HE,uk_nec,2011
2011,Jimmy Donaghey,"UK NEC Members, HE",HE,uk_nec,2011
2011,Joe Gluza,"UK NEC Members, HE",HE,uk_nec,2011
2011,Lesley McIntosh,"UK NEC Members, HE",HE,uk_nec,2011
2011,Maeve Landman,"UK NEC Members, HE",HE,uk_nec,2011
2011,Malcolm Povey,"UK NEC Members, HE",HE,uk_nec,2011
2011,Roger Brooks,"UK NEC Members, HE",HE,uk_nec,2010
2011,Steve Clark,"UK NEC Members, HE",HE,uk_nec,2010
2011,Sue Blackwell,"UK NEC Members, HE",HE,uk_nec,2010
2011,Veronica Killen,"UK NEC Members, HE",HE,uk_nec,2011
2011,Terry Hoad,President,HE,vp_chain,2009
2011,Kathy Taylor,President-elect,FE,vp_chain,2010
2011,Simon Renton,Vice-President,HE,vp_chain,2011
2011,Ann Blair,"Representatives of Women Members, HE",HE,women,2010
2011,Marion Hersh,"Representatives of Women Members, HE",HE,women,2010
2011,Pauline Collins,"Representatives of Women Members, HE",HE,women,2010
2012,Jim Thakoordin,Representatives of Black Members,FE,equality,2011
2012,Roger Walters,"Representatives of Disabled Members, HE",HE,equality,2011
2012,Mary Jennings,"Representatives of LGBT+ Members, HE",HE,equality,2011
2012,Annie Holder,"NEC Members, London and the East, FE",FE,regional,2012
2012,Sean Vernell,"NEC Members, London and the East, FE",FE,regional,2012
2012,Mark Campbell,"NEC Members, London and the East, HE",HE,regional,2012
2012,Steve Sangwine,"NEC Members, London and the East, HE",HE,regional,2012
2012,Cath Hepburn,"NEC Members, North East, FE",FE,regional,2012
2012,Rob Goodfellow,"NEC Members, North East, FE",FE,regional,2012
2012,Elizabeth Lawrence,"NEC Members, North East, HE",HE,regional,2012
2012,Joanna de Groot,"NEC Members, North East, HE",HE,regional,2012
2012,Martin Levy,"NEC Members, North East, HE",HE,regional,2012
2012,Andy Sellers,"NEC Members, North West, FE",FE,regional,2012
2012,Renee Prendergast,"NEC Members, Northern Ireland, HE",HE,regional,2012
2012,Bob Langridge,"NEC Members, South, HE",HE,regional,2011
2012,Lesley Kane,"NEC Members, South, HE",HE,regional,2011
2012,Tom Hickey,"NEC Members, South, HE",HE,regional,2011
2012,Angela Roger,UCU Scotland Honorary Secretary,HE,regional,2011
2012,Gordon Watson,UCU Scotland President,HE,regional,2011
2012,Christopher Whyley,"Vice-President, UCU Wales",FE,regional,2012
2012,John Holden,"UK NEC Members, FE",FE,uk_nec,2012
2012,Richard McEwan,"UK NEC Members, FE",FE,uk_nec,2012
2012,Angi Lamb,"UK NEC Members, HE",HE,uk_nec,2012
2012,David Goode,"UK NEC Members, HE",HE,uk_nec,2012
2012,Dominique Lauterburg,"UK NEC Members, HE",HE,uk_nec,2012
2012,Gargi Bhattacharyya,"UK NEC Members, HE",HE,uk_nec,2011
2012,Harriet Bradley,"UK NEC Members, HE",HE,uk_nec,2012
2012,Jelena Timotijevic,"UK NEC Members, HE",HE,uk_nec,2012
2012,Jimmy Donaghey,"UK NEC Members, HE",HE,uk_nec,2011
2012,Joe Gluza,"UK NEC Members, HE",HE,uk_nec,2011
2012,Lesley McGorrigan,"UK NEC Members, HE",HE,uk_nec,2012
2012,Lesley McIntosh,"UK NEC Members, HE",HE,uk_nec,2011
2012,Maeve Landman,"UK NEC Members, HE",HE,uk_nec,2011
2012,Malcolm Povey,"UK NEC Members, HE",HE,uk_nec,2011
2012,Steve Clark,"UK NEC Members, HE",HE,uk_nec,2012
2012,Veronica Killen,"UK NEC Members, HE",HE,uk_nec,2011
2012,Terry Hoad,Immediate Past President,HE,vp_chain,2009
2012,Kathy Taylor,President,FE,vp_chain,2010
2012,Simon Renton,President-elect,HE,vp_chain,2011
2012,John McCormack,Vice-President,FE,vp_chain,2012
2012,Monica Goligher,"Representatives of Women Members, FE",FE,women,2012
2012,Vicky Knight,"Representatives of Women Members, FE",FE,women,2012
2012,Ann Blair,"Representatives of Women Members, HE",HE,women,2012
