year,contest_name,name_canonical,outcome,demographic_flags,sector,purpose,page_url,BJP Comment,
2019,Representative of Disabled Members,Ciara Doyle,Not Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,,
2019,Representative of Disabled Members,Lucy Burke,Elected,man,HE,needed for split,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,,
2019,Representative of Disabled Members,Paul Lunn,Not Elected,man,HE,needed for split,https://www.ucu.org.uk/article/9677/UCU-national-officer-and-national-executive-committee-elections-in-2019,,
2021,Representative of Disabled Members,Jane Charlesworth,Not Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/11040/UCU-officer-and-national-executive-committee-elections-in-2021,,
2021,Representative of Disabled Members,Marian Mayer,Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/11040/UCU-officer-and-national-executive-committee-elections-in-2021,,
2013,Representative of LGBT members,Mary Jennings,Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/6338/Officer-and-national-executive-committee-elections-2013,,
2013,Representative of LGBT members,Pura Ariza,Not Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/6338/Officer-and-national-executive-committee-elections-2013,,
2017,Representative of LGBT members,Pura Ariza,Not Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/8961/UCU-national-officer-and-national-executive-committee-elections-2017,,
2017,Representative of LGBT members,Ryan Prout,Elected,man,HE,needed for split,https://www.ucu.org.uk/article/8961/UCU-national-officer-and-national-executive-committee-elections-2017,,
2020,Representative of LGBT+ Members,Jennie Appleyard,Elected,woman,FE,needed for split,https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results,Casual?,https://www.ucu.org.uk/cvs-elections
2020,Representative of LGBT+ Members,Peter Evans,Not Elected,man,FE,needed for split,https://www.ucu.org.uk/article/10339/UCU-trustee-national-officer-and-national-executive-committee-elections-in-2019-20-election-results,Casual?,https://www.ucu.org.uk/cvs-elections
2013,Representative of disabled members,Rob Murthwaite,Not Elected,man,HE,needed for split,https://www.ucu.org.uk/article/6338/Officer-and-national-executive-committee-elections-2013,,
2013,Representative of disabled members,Roger Walters,Elected,man,HE,needed for split,https://www.ucu.org.uk/article/6338/Officer-and-national-executive-committee-elections-2013,,
2025,Representatives of Casually Employed Members,Andrew Ward,Elected,man,FE,needed for split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Casually Employed Members,Cecily Blyther,Not Elected,woman,FE,needed for split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Disabled Members,Bijan Parsia,Elected,man,HE,needed for split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of Disabled Members,Roddy Slorach,Not Elected,man,HE,needed for split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of LGBT+ Members,Bee Hughes,Not Elected,NB,HE,needed for split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of LGBT+ Members,Matilda Fitzmaurice,Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2025,Representatives of LGBT+ Members,Peter Evans,Uncontested,man,FE,needed for split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2023,representative of LGBT+ members,Bee Hughes,Not Elected,NB,HE,needed for split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of LGBT+ members,Mark Pendleton,Elected,man,HE,needed for split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of LGBT+ members,Peter Evans,Uncontested,man,FE,needed for split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of casually-employed members,Ansh Bhatnagar,Withdrawn,man,HE,needed for split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of casually-employed members,Matilda Fitzmaurice,Elected,woman ,HE,needed for split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of casually-employed members,Sam Morecroft,Not Elected,man,HE,needed for split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of casually-employed members,Sarah Lahm,Not Elected,woman,HE,needed for split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2015,Casually Employed Members,Amy Jowett,Elected,woman,FE,verify split,https://www.ucu.org.uk/article/7620/Trustee-officer-and-national-executive-committee-elections-2015,,
2015,Casually Employed Members,Eric Silverman,Not Elected,man,HE,verify split,https://www.ucu.org.uk/article/7620/Trustee-officer-and-national-executive-committee-elections-2015,,
2015,Casually Employed Members,Robert Clunas,Not Elected,man,FE,verify split,https://www.ucu.org.uk/article/7620/Trustee-officer-and-national-executive-committee-elections-2015,,
2015,Casually Employed Members,Vicky Blake,Elected,woman,HE,verify split,https://www.ucu.org.uk/article/7620/Trustee-officer-and-national-executive-committee-elections-2015,,
2023,Representatives of Casually Employed Members,Matilda Fitzmaurice,Elected,woman,HE,verify split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2025,Representatives of Disabled Members,Pat Roche,Uncontested,woman,FE,verify split,https://www.ucu.org.uk/article/13734/UCU-UK-elections-2024-25,,
2023,representative of disabled members,Bijan Parsia,Elected,man,HE,verify split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of disabled members,Em Campbell,Withdrawn,woman,FE,verify split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of disabled members,Marian Mayer,Not Elected,woman,HE,verify split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
2023,representative of disabled members,Pat Roche,Uncontested,woman,FE,verify split,https://www.ucu.org.uk/article/12531/UCU-officer-and-NEC-elections-in-2023-results,,
